16:38:41.302 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A08;' undefined variable row.wan.A08
16:38:41.302 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.302 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A09;' undefined variable row.wan.A09
16:38:41.302 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.302 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A10;' undefined variable row.wan.A10
16:38:41.303 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.303 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A11;' undefined variable row.wan.A11
16:38:41.303 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.303 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A12;' undefined variable row.wan.A12
16:38:41.303 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.303 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A13;' undefined variable row.wan.A13
16:38:41.304 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.304 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A14;' undefined variable row.wan.A14
16:38:41.304 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A01;' undefined variable row.wan.A01
16:38:41.305 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A02;' undefined variable row.wan.A02
16:38:41.305 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A03;' undefined variable row.wan.A03
16:38:41.305 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A04;' undefined variable row.wan.A04
